Issuer,BinCount,Note
AHMEDABAD MERCANTILE CO-OPERATIVE BANK,2,no picker match
ALMORA URBAN CO-OPERATIVE BANK,2,no picker match
ANDHRA PRADESH STATE CO-OPERATIVE BANK,2,no picker match
MUMBAI DISTRICT CENTRAL CO-OPERATIVE BANK,2,no picker match
KANGRA CENTRAL CO-OPERATIVE BANK,2,no picker match
MAHARASHTRA STATE CO-OPERATIVE BANK,2,no picker match
CITIZEN CREDIT CO-OPERATIVE BANK,2,no picker match
BANK OF BAHREIN AND KUWAIT,2,no picker match
BARAMATI SAHAKARI BANK,2,no picker match
COASTAL LOCAL AREA BANK,2,no picker match
IDUKKI DISTRICT CO-OPERATIVE BANK,2,no picker match
BHARATIYA MAHILA BANK,2,no picker match
BHARAT CO-OPERATIVE BANK,2,no picker match
NEW INDIA CO-OPERATIVE BANK,2,no picker match
INDUSTRIAL BANK OF KOREA,2,no picker match
"THE COSMOS COOPERATIVE BANK, LTD.",1,no picker match
"TRANSACTION ANALYSTS INDIA PVT, LTD.",1,no picker match
"EURONET SERVICES INDIA PRIVATE, LTD.",1,no picker match
MPOWER (INTERNAL ONLY),1,no picker match
AEON VIRTUAL PAY,1,no picker match
ATLANTA,1,no picker match
MILWAUKEE (IN),1,no picker match
KALUPUR COMMERCIAL BANK,1,no picker match
"DOHA BANK, LTD.",1,no picker match
ICBC INDIA,1,no picker match
EMIRATES NBD BANK (P.J.S.C.),1,no picker match
"OXIGEN SERVICES INDIA PVT., LTD.",1,no picker match
"REVOLUT FOREX INDIA PVT, LTD.",1,no picker match
"GE MONEY FINANCIAL SERVICES, LTD.",1,no picker match
"GE COUNTRYWIDE CONSUMER FINANCIAL SERVICES, LTD.",1,no picker match
"ABN AMRO BANK, N.V.",1,no picker match
"REPUBLIC BANK (GHANA), LTD.",1,no picker match
"PROVISIONAL BID - GARAGEPRENEURS INTERNET PRIVATE, LTD.",1,no picker match
"STATE BANK OF MAURITIUS, LTD.",1,no picker match
SVC CO-OPERATIVE BANK LTD.,1,no picker match
"DREAMPURSE TECHNOLOGIES PRIVATE, LTD.",1,not-a-bank filter
BANK OF NOVA SCOTIA,1,no picker match
KEB HANA BANK,1,no picker match
"TRI O TECH SOLUTIONS PRIVATE, LTD.",1,not-a-bank filter
"THE BHARAT CO-OPERATIVE BANK (MUMBAI), LTD.",1,no picker match
"CITIBANK, NATIONAL ASSOCIATION",1,no picker match
"SHAMRAO VITHAL CO-OPERATIVE BANK, LTD.",1,no picker match
AFGHAN UNITED BANK,1,no picker match
"LAKSHMI VILAS BANK, LTD.",1,no picker match
"BHUTAN NATIONAL BANK, LTD.",1,no picker match
INTL HDQTRS-CENTER OWNED,1,no picker match
"COSMOS CO-OP BANK, LTD.",1,no picker match
"COSMOS CO-OPERATIVE BANK, LTD.",1,no picker match
"ADARSH CO-OPERATIVE BANK, LTD. RAJASTAN",1,no picker match
VIDHARBHA KONKAN GRAMIN BANK,1,no picker match
BNP PARIBAS,1,no picker match
FCM TRAVEL SOLUTIONS (I) PVT. LTD.,1,not-a-bank filter
"OLA FINANCIAL SERVICES PRIVATE, LTD.",1,no picker match
"ROYAL BANK OF SCOTLAND, N.V.",1,no picker match
"SBI CARDS & PAYMENT SERVICES PVT., LTD.",1,not-a-bank filter
"QWIKCILVER SOLUTIONS PVT, LTD.",1,not-a-bank filter
"BHARATIYA MAHILA BANK, LTD.",1,no picker match
ALLAHABAD BANK,1,no picker match
"NKGSB CO-OPERATIVE BANK, LTD.",1,no picker match
BANK OF CEYLON,1,no picker match
DEPARTMENT OF POSTS,1,no picker match
"SAHEBRAO DESHMUKH CO-OP. BANK, LTD.",1,no picker match
"NAKODAR HINDU URBAN CO-OPERATIVE BANK, LTD.",1,no picker match
"KANGRA CENTRAL CO-OPERATIVE BANK, LTD.",1,no picker match
BHARAT CO-OPERATIVE BANK (MUMBAI)LTD.,1,no picker match
"MAPUSA URBAN CO-OPERATIVE BANK OF GOA, LTD., MAPUSA",1,no picker match
"YASHWANT NAGARI SAHAKARI BANK, LTD., LATUR",1,no picker match
ADITYA BIRLA IDEA PAYMENTS BANK,1,no picker match
KERALA GRAMIN BANK,1,no picker match
PRAGATHI KRISHNA GRAMIN BANK,1,no picker match
NATIONAL PAYMENTS CORPORATION OF INDIA,1,no picker match
"CITI BANK, N.A.",1,no picker match
"SHRI BASAVESHWAR SAHAKARI BANK NYT., BAGALKOT",1,no picker match
"VIVEKANAND NAGRIK SAHAKARI BANK MYDT.,SHUJALPUR",1,no picker match
"MADGAUM URBAN CO-OPERATIVE BANK, LTD., GOA",1,no picker match
"KARAD JANATA SAHAKARI BANK, LTD.",1,no picker match
"MODERN CO-OP. BANK, LTD., CHALISGAON, JALGAON",1,no picker match
"NEW INDIA CO-OPERATIVE BANK, LTD., MUMBAI",1,no picker match
"AMBALA CENTRAL CO-OPERATIVE BANK, LTD., AMBALA (HARYANA)",1,no picker match
"JANSEVA NAGARI SAHAKARI BANK MARYADIT, BHOOM",1,no picker match
"NAVABHARAT CO-OPERATIVE URBAN BANK, LTD.",1,no picker match
"HASTI CO-OPERATIVE BANK, LTD.",1,no picker match
"YASHWANT CO-OPERATIVE BANK, LTD., PHALTAN",1,no picker match
"CITIZENS URBAN CO-OPERATIVE BANK, LTD., JALANDHAR",1,no picker match
"SHIVDAULAT SAHAKARI BANK, LTD., SATARA",1,no picker match
"SONEPAT URBAN CO-OPERATIVE BANK, LTD.",1,no picker match
"BHADGAON PEOPLE'S CO-OPERATIVE BANK, LTD., BHADGAON",1,no picker match
"BEAWAR URBAN CO-OPERATIVE BANK, LTD., RAJASTHAN",1,no picker match
"AGRASEN NAGARI SAHAKARI BANK, LTD., AKOLA",1,no picker match
"RAIGAD SAHAKARI BANK, LTD., KALACHOWKI, MUMBAI",1,no picker match
"WASHIM URBAN CO-OPERATIVE BANK, LTD., WASHIM",1,no picker match
"UNION CO-OPERATIVE BANK, LTD., NARODA",1,no picker match
"KUTCH CO-OPERATIVE BANK, LTD., MUMBAI",1,no picker match
"MANTHA URBAN CO-OPERATIVE BANK, LTD., MANTHA",1,no picker match
"CHANDRAPUR DISTRICT CENTRAL CO-OPERATIVE BANK, LTD.",1,no picker match
"JILA SAHAKARI KENDRIYA BANK MARYADIT, SIDHI (M.P.)",1,no picker match
"JILA SAHAKARI KENDRIYA BANK MARYADIT, REWA (M.P.)",1,no picker match
"JILA SAHAKARI KENDRIYA BANK MARYADIT, DATIA (M.P.)",1,no picker match
"MAHAMEDHA URBAN CO-OPERATIVE BANK, LTD., GHAJIABAD (U.P.)",1,no picker match
"OJHAR MERCHANTS' CO-OPERATIVE BANK, LTD., OJHAR",1,no picker match
"PIMPALGAON MERCHANT'S CO-OPERATIVE BANK, LTD.",1,no picker match
"DURGA CO-OPERATIVE URBAN BANK, LTD., VIJAYAWADA",1,no picker match
"KASARAGOD DISTRICT CO-OPERATIVE BANK, LTD., KERALA",1,no picker match
"DELHI STATE CO-OPERATIVE BANK, LTD., NEW DELHI",1,no picker match
"KANNUR DISTRICT CO-OPERATIVE BANK, LTD., KERALA",1,no picker match
"IDFC BANK, LTD.",1,no picker match
PUNJAB GRAMIN BANK,1,no picker match
"ANANTAPUR CO-OPERATIVE TOWN BANK, LTD., ANANTAPUR",1,no picker match
"SANMITRA SAKAKARI BANK, LTD., MUMBAI",1,no picker match
"BIRDEO SAHAKARI BANK, LTD., ICHALKARANJI",1,no picker match
ASSAM GRAMIN VIKASH BANK,1,no picker match
"THE GHATAL PEOPLES COOPERATIVE BANK, LTD.",1,no picker match
"LILUAH CO-OPERATIVE BANK, LTD.",1,no picker match
"THE BIJNOR URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"BALOTRA URBAN CO-OPERATIVE BANK, LTD.",1,no picker match
"UMIYA URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"NAGRIK SAHAKARI BANK, LTD.",1,no picker match
"THE PONDICHERRY STATE CO-OP BANK, LTD.",1,no picker match
"THE PALAKKAD DISTRICT CO OP BANK, LTD.",1,no picker match
"STERLING URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"THE KUKARWADA NAGARIK SAHAKARI BANK, LTD.",1,no picker match
"THE MAHUDHA NAGARIK SAHAKARI BANK, LTD.",1,no picker match
"THE NAVNIRMAN CO-OPERATIVE BANK, LTD.",1,no picker match
"BRAMHAPURI URBAN CO OPERATIVE BANK, LTD.",1,no picker match
NAGARIK SAHAKARI BANK MARYADIT DURG,1,no picker match
"PALI URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"SHRI CHHANI NAGRIK SAHKARI BANK, LTD.",1,no picker match
"THE RAJPUTANA MAHILA URBAN CO OPERATIVE BAK, LTD.",1,no picker match
"THE BARODA CITY CO OPERATIVE BANK, LTD.",1,no picker match
"BALASINOR NAGARIK SAHAKARI BANK, LTD.",1,no picker match
"THE SARVODAYA SAHAKARI BANK, LTD.",1,no picker match
"SARDARGANJ MERCANTILE CO OPERATIVE BANK, LTD.",1,no picker match
"ETAH DISTRICT COOPERATIVE BANK, LTD.",1,no picker match
"RAJLAXMI URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"CITIZEN CO OPERATIVE BANK, LTD.",1,no picker match
"CHURU ZILA URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"THE TEXTILE CO OPERATIVE BANK OF SURAT, LTD.",1,no picker match
"THE BHAGYODAYA CO OPERATIVE BANK, LTD.",1,no picker match
"THE KACHCHH DISTRICT CENTRAL CO OPERATIVE BANK, LTD.",1,no picker match
"SIHOR NAGARIK SAHAKARI BANK, LTD.",1,no picker match
JIVAJI SAHAKARI BANK LTD ICHALKARANJI,1,no picker match
"CITIZENS CO-OPERATIVE BANK, LTD.",1,no picker match
"KASHIPUR URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"UNITED MERCANTILE CO OPERATIVE BANK, LTD.",1,no picker match
"KASHMIR MERCANTILE CO OPERATIVE BANK, LTD.",1,no picker match
"THE BORAL UNION CO OPERATIVE BANK, LTD.",1,no picker match
"UMA CO OPERATIVE BANK, LTD.",1,no picker match
"THE FINANCIAL CO OPERATIVE BANK, LTD.",1,no picker match
"THE VAISH CO-OPERATIVE NEW BANK, LTD.",1,no picker match
"SIKAR URBAN CO OPERATIVE BANK, LTD.",1,no picker match
"SHREE BHAVNAGAR NAGRIK SAHAKARI BANK, LTD.",1,no picker match
"THE UNITED CO OPERATIVE BANK, LTD.",1,no picker match
